"Item
",Type,Requirements,Follows immediately from,Start location,End location (if different from start),Star name,"
","
"
Gateway Grand Star returned,Event,,Gateway 1,,Observatory start,,,
First Terrace visit,Event,,Gateway Grand Star returned,Terrace,"
",,,
Butler's star bit explanation,Event,,2 stars,"
",Terrace,,,
Unlock Honeyhive,Event,,3 stars,,Terrace,,,
Find Toads,Event,,Honeyhive 1,,Observatory start,,,
Terrace enemy base found,Event,,8 stars,Terrace,"
",,,
Terrace Grand Star returned,Event,,Bowser Jr.'s Robot Reactor,,Observatory start,,,
Unlock comets,Event,,13 stars,,Observatory start,,,
Fountain enemy base found,Event,,15 stars,Fountain,"
",,,
Fountain Grand Star returned,Event,,Bowser's Star Reactor,,Observatory start,,,
"Save Luigi
",Event,,Ghostly 1,,Observatory start,,,
Talk to Luigi at Garage,Action,Ghostly 1,,Luigi at Garage,"
",,,
Luigi letter 1,Event,,,,Mailtoad,,,
Luigi letter 2,Action,,,Mailtoad,,,,
Luigi letter 3,Action,,,Mailtoad,,,,
Kitchen enemy base found,Event,,23 stars,Kitchen,,,,
Kitchen Grand Star returned,Event,,Bowser Jr.'s Airship Armada,,Observatory start,,,
Bedroom enemy base found,Event,,33 stars,Bedroom,,,,
Bedroom Grand Star returned (before 60 stars),Event,Less than 60 stars,Bowser's Dark Matter Plant,,Observatory start,,,
Bedroom Grand Star returned (60 stars),Event,60 stars,"
Bowser's Dark Matter Plant",,Observatory start,,,
Engine Room enemy base found,Event,,45 stars,Engine Room,,,,
Engine Room Grand Star returned (before 60 stars),Event,Less than 60 stars,Bowser Jr.'s Lava Reactor,,Observatory start,,,
Engine Room Grand Star returned (60 stars),Event,60 stars,Bowser Jr.'s Lava Reactor,,Observatory start,,,
Unlock center of universe (and choose Go),Event,,60 stars,,"
",,,
Ending (61 stars),Event,Less than 120 stars,Bowser's Galaxy Reactor,,Title screen,,,
Return to Observatory after 61 star ending,Event,,Ending (61 stars),,,,,
120 stars (and going to center of universe),Event,,120 stars,"
",,,,
Ending (120 stars),Event,120 stars,Bowser's Galaxy Reactor,,,,,
Feed Terrace Hungry Luma,Action,"7 stars
400 star bits",,Terrace Hungry Luma,,,,
Feed Fountain Hungry Luma,Action,"Space Junk 3
400 star bits",,Fountain Hungry Luma,,,,
Feed Kitchen Hungry Luma,Action,"Beach Bowl 1
600 star bits",,Kitchen Hungry Luma,,,,
Feed Bedroom Hungry Luma,Action,"Dusty Dune 1
800 star bits",,Bedroom Hungry Luma,,,,
Feed Engine Room Hungry Luma,Action,"Ghostly 1
Sea Slide 2
1000 star bits",,Engine Room Hungry Luma,,,,
Feed Gate Hungry Luma,Action,"Ghostly 1
Gateway P
1200 star bits",,Gate Hungry Luma,,,,
Feed Garden Hungry Luma,Action,"Melty Molten 1
1600 star bits",,Garden Hungry Luma,,,,
Green star 1 returned,Event,,1 green star,,Observatory start,,,
Green star 3 returned,Event,,3 green stars,,Observatory start,,,
Talk to Rolling Gizmo Luma,Action,Green star 3 returned,,"Rolling Gizmo Luma
",,,,
Talk to Loopdeeswoop Luma,Action,Green star 3 returned,,Loopdeswoop Luma,,,,
Talk to Bubble Blast Luma,Action,Green star 3 returned,,Bubble Blast Luma,,,,
Talk to Grand Finale Luma,Action,Ending (120 stars),,Grand Finale Luma,,,,
Good Egg 1,Level,1 star,,Terrace,,ScenarioName_EggStarGalaxy1,,
Good Egg 2,Level,,,Terrace,,ScenarioName_EggStarGalaxy2,,
Good Egg 3,Level,,,Terrace,,ScenarioName_EggStarGalaxy3,,
Good Egg C,Level,Good Egg 1,,Terrace,,ScenarioName_EggStarGalaxy4,,
Good Egg P,Level,,,Terrace,,ScenarioName_EggStarGalaxy5,,
Good Egg L,Level,"1 star
Luigi letter 1",,Terrace,,ScenarioName_EggStarGalaxy6,,
Honeyhive 1,Level,3 stars,,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy1,,
Honeyhive 2,Level,,,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy2,,
Honeyhive 3,Level,,,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy3,,
Honeyhive C,Level,Honeyhive 1,,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy4,,
Honeyhive P,Level,Honeyhive 1,,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy5,,
Honeyhive L,Level,"3 stars
Luigi letter 3",,Terrace,,ScenarioName_HoneyBeeKingdomGalaxy6,,
Space Junk 1,Level,9 stars,,Fountain,,ScenarioName_StarDustGalaxy1,,
Space Junk 2,Level,,,Fountain,,ScenarioName_StarDustGalaxy2,,
Space Junk 3,Level,,,Fountain,,ScenarioName_StarDustGalaxy3,,
Space Junk C,Level,Space Junk 1,,Fountain,,ScenarioName_StarDustGalaxy4,,
Space Junk P,Level,Space Junk 2,,Fountain,,ScenarioName_StarDustGalaxy5,,
Space Junk H,Level,Space Junk 2,,Fountain,,ScenarioName_StarDustGalaxy6,,
Battlerock 1,Level,12 stars,,Fountain,,ScenarioName_BattleShipGalaxy1,,
Battlerock 2,Level,,,Fountain,,ScenarioName_BattleShipGalaxy2,,
